School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Gaston College,2520848,1260424
Hussian College,2519530,1259765
College Of The Ozarks,2518807,1259404
Harris - Stowe State University,2513580,1256790
Suny College Of Technology At Canton,2510929,1255465
Lake Land College,2510560,1255280
Wayland Baptist University,2509726,1254863
Indiana University - Kokomo,2505620,1252810
College Of The Redwoods,2504489,1252245
Interactive College Of Technology,2503478,1251739
Livingstone College,2503063,1251532
Stevenson University,2499743,1249872
"Citadel, The Military College Of South Carolina",2499158,1249579
North Lake College,2498181,1249091
Sowela Technical Community College,2493383,1246692
Skyline College,2491579,1245790
Walla Walla Community College,2487718,1243859
Capital University,2486868,1243434
Genesee Community College,2484880,1242440
Southern University At New Orleans,2481663,1240832
Yeshiva University,2479795,1239898
Snow College,2478311,1239156
Contra Costa College,2477887,1238944
Drury University,2470201,1235101
Bellarmine University,2469277,1234639
State Fair Community College,2466914,1233457
Wenatchee Valley College,2466867,1233434
Unitech Training Academy,2453939,1226970
Bethel University,2452828,1226414
Albany Technical College,2451149,1225575
Regis University,2448686,1224343
West Kentucky Community And Technical College,2444514,1222257
Southern Adventist University,2443809,1221905
Dillard University,2442809,1221405
Shoreline Community College,2438333,1219167
Carroll University,2437429,1218715
Suny College Of Technology At Delhi,2436849,1218425
Fortis Institute,2435661,1217831
Lane College,2430978,1215489
Elizabethtown Community  And Technical College,2426734,1213367
University Of Richmond,2425545,1212773
Southcentral Kentucky Community And Technical College,2424487,1212244
Princeton University,2424099,1212050
Faulkner University,2422978,1211489
South Georgia State College,2422737,1211369
Central Carolina Community College,2422099,1211050
Monterey Peninsula College,2415633,1207817
Gulf Coast State College,2415469,1207735
Moberly Area Community College,2410386,1205193
North Central College,2410282,1205141
Wilkes University,2403446,1201723
Hocking Technical College,2402471,1201236
Foothill College,2401437,1200719
Whatcom Community College,2392620,1196310
Ross Medical Education Center,2390068,1195034
Yavapai College,2389592,1194796
Utica College,2388832,1194416
Scottsdale Community College,2386925,1193463
University Of West Alabama,2384585,1192293
Northwest Career College,2384152,1192076
Wichita State University Campus Of Applied Sciences And Technology,2383798,1191899
Samford University,2381353,1190677
Western Technical College,2379444,1189722
Westmoreland County Community College,2377450,1188725
Catholic University Of America (The),2374572,1187286
Milan Institute Of Cosmetology,2373948,1186974
William Carey University,2370656,1185328
Alamance Community College,2367785,1183893
Goodwin University,2365797,1182899
Summit College,2365247,1182624
Palm Beach Atlantic University,2363047,1181524
Jefferson Community College,2361051,1180526
Fortis College,2359780,1179890
Texas College,2358852,1179426
Hagerstown Community College,2358314,1179157
Harford Community College,2343664,1171832
Miat College Of Technology,2341441,1170721
Empire Beauty School,2339199,1169600
Canisius College,2334830,1167415
Skagit Valley College,2333763,1166882
North Park University,2332872,1166436
Gavilan College,2328197,1164099
University Of Baltimore,2325946,1162973
Pacific University,2323471,1161736
Columbia Central University,2321653,1160827
Southwest Mississippi Community College,2320170,1160085
Lord Fairfax Community College,2319604,1159802
Jamestown Community College,2306997,1153499
Brigham Young University - Hawaii,2306881,1153441
Lake Sumter State College,2306379,1153190
Hutchinson Community College,2304535,1152268
Southwest Baptist University,2301587,1150794
Oklahoma State University - Oklahoma City,2300829,1150415
Millikin University,2299043,1149522
Carson - Newman University,2295168,1147584
Cedarville University,2294323,1147162
Florida Southern College,2291992,1145996
Paul Mitchell The School Costa Mesa,2289751,1144876
Paris Junior College,2287333,1143667
National Park College,2285507,1142754
Milwaukee School Of Engineering,2285262,1142631
Three Rivers College,2281288,1140644
California College San Diego,2281144,1140572
American Musical & Dramatic Academy,2278035,1139018
Alvin Community College,2277498,1138749
San Jose City College,2274964,1137482
College Of Saint Scholastica,2274924,1137462
Empire Beauty School,2268234,1134117
Colorado Christian University,2267714,1133857
Schenectady County Community College,2266692,1133346
Huertas College,2262464,1131232
West Hills College Lemoore,2260143,1130072
Shaw University,2258545,1129273
Johnston Community College,2258380,1129190
Wesleyan University,2257086,1128543
Otterbein University,2255286,1127643
Midwestern University,2255126,1127563
Mchenry County College,2254053,1127027
Three Rivers Community College,2253229,1126615
Virginia Union University,2251677,1125839
University Of Findlay (The),2250867,1125434
Oklahoma State University Institute Of Technology - Okmulgee,2248014,1124007
Muskegon Community College,2247350,1123675
West Liberty University,2246663,1123332
Felician University,2243499,1121750
University Of Houston - Victoria,2233006,1116503
Eastern University,2228030,1114015
New England Tractor Trailer Training School Of Massachusetts,2226771,1113386
John Carroll University,2224405,1112203
Drake University,2224225,1112113
Center For Employment Training,2223425,1111713
Los Angeles Southwest College,2222854,1111427
Simmons University,2222441,1111221
Eastern Arizona College,2222272,1111136
Empire Beauty School,2219238,1109619
Texas Tech University Health Sciences Center,2217206,1108603
West Los Angeles College,2215810,1107905
Upper Iowa University,2210375,1105188
University Of Mount Union,2209587,1104794
Jacksonville University,2208846,1104423
South Suburban College Of Cook County,2208424,1104212
Empire Beauty School,2208217,1104109
Belhaven University,2204818,1102409
All-State Career School,2203255,1101628
Blackhawk Technical College,2201888,1100944
Indian Hills Community College,2199657,1099829
Dallas Baptist University,2198677,1099339
Montana State University - Billings,2193195,1096598
Susquehanna University,2191211,1095606
Ohio Northern University,2189709,1094855
Mississippi University For Women,2188061,1094031
Brookhaven College,2187307,1093654
Ranken Technical College,2185927,1092964
Tunxis Community College,2185505,1092753
Universidad Adventista De Las Antillas,2178276,1089138
North Carolina Wesleyan College,2177353,1088677
Black Hawk College,2172992,1086496
Chicago State University,2172014,1086007
Liceo De Arte Y Tecnología,2168379,1084190
Art Center College Of Design,2168231,1084116
School Of The Art Institute Of Chicago,2167774,1083887
Saint Olaf College,2167063,1083532
Ross Medical Education Center,2164321,1082161
Hope College,2163878,1081939
North Idaho College,2161877,1080939
Bryant University,2160764,1080382
University Of Maine - Farmington,2158052,1079026
Grayson College,2157844,1078922
Concorde Career College,2155995,1077998
Florida Memorial University,2154643,1077322
Atlanta Metropolitan  State College,2149954,1074977
Intercoast Colleges,2149757,1074879
La Sierra University,2144179,1072090
City Colleges Of Chicago - Kennedy King College,2144024,1072012
Philander Smith College,2143674,1071837
North Greenville University,2143104,1071552
Arkansas State University - Beebe,2141764,1070882
Vaughn College Of Aeronautics And Technology,2140817,1070409
Fairfield University,2137358,1068679
Community Care College,2135245,1067623
Coastal Bend College,2133542,1066771
Elizabeth City State University,2130978,1065489
State University Of New York Polytechnic Institute,2129510,1064755
Napa Valley College,2125082,1062541
Northwestern Michigan College,2124216,1062108
Lanier Technical College,2122657,1061329
Bethel University,2121073,1060537
Avalon School Of Cosmetology,2120430,1060215
Smith College,2119895,1059948
Southeastern Oklahoma State University,2118149,1059075
Odessa College,2118029,1059015
Nazareth College Of Rochester,2117252,1058626
North Georgia Technical College,2114032,1057016
South Florida State College,2111445,1055723
Messiah College,2106740,1053370
South Mountain Community College,2098614,1049307
Southern Technical College,2097167,1048584
Alfred University,2093987,1046994
Heartland Community College,2092953,1046477
Anderson University,2092286,1046143
Pima Medical Institute,2092022,1046011
Augustana College,2091818,1045909
Arapahoe Community College,2079610,1039805
Our Lady Of The Lake University,2078279,1039140
"University Of Maryland, Baltimore",2077903,1038952
College Of Southern Idaho,2076917,1038459
University Of South Carolina - Beaufort,2075254,1037627
Marymount University,2074937,1037469
Talladega College,2069544,1034772
Northwest - Shoals Community College,2069470,1034735
Centura College,2069211,1034606
Leeward Community College,2067889,1033945
Atenas College,2067059,1033530
University Of Alaska Fairbanks,2066651,1033326
Bard College,2064786,1032393
Endicott College,2063007,1031504
Lewis And Clark Community College,2062380,1031190
Louisiana State University At Eunice,2060199,1030100
Concord University,2057014,1028507
Saint Ambrose University,2054932,1027466
Northshore Technical Community College,2051300,1025650
College Of San Mateo,2042860,1021430
Shenandoah University,2040202,1020101
Gustavus Adolphus College,2036930,1018465
Sandhills Community College,2033057,1016529
Capital Community College,2032022,1016011
Medaille College,2028538,1014269
Caldwell University,2028129,1014065
Moravian College,2025895,1012948
Glendale Career College,2025197,1012599
Holy Family University,2023957,1011979
Wheaton College,2023744,1011872
Western Iowa Tech Community College,2023618,1011809
Kapiolani Community College,2022941,1011471
Marywood University,2020450,1010225
West Valley College,2016079,1008040
Empire Beauty School,2008780,1004390
Cabrini University,2005185,1002593
Norwich University,2004614,1002307
Colegio Universitario De San Juan,2002902,1001451
Louisiana State University At Alexandria,1998555,999278
Lesley University,1997859,998930
Orangeburg - Calhoun Technical College,1996646,998323
University Of Texas Health Science Center At Houston,1995703,997852
Richmond Community College,1993968,996984
Maysville Community And Technical College,1992396,996198
Kellogg Community College,1991422,995711
Empire Beauty School,1988069,994035
Mineral Area College,1986137,993069
Union University,1984881,992441
University Of Saint Thomas,1984472,992236
Alvernia University,1983784,991892
Keuka College,1981704,990852
Lewis-Clark State College,1979771,989886
Tiffin University,1977210,988605
Stone Academy,1976921,988461
University Of Lynchburg,1975980,987990
Northern Oklahoma College,1971017,985509
American International College,1970878,985439
Cleveland State Community College,1970716,985358
Wellesley College,1970468,985234
Kings College,1968517,984259
Perry Technical Institute,1967635,983818
Ross Medical Education Center,1965598,982799
Mission College,1961952,980976
Trinity Washington University,1960751,980376
College Of The Marshall Islands,1956673,978337
Escuela Hotelera De San Juan,1955007,977504
Ridgewater College,1950916,975458
National Aviation Academy,1950415,975208
Bucknell University,1946454,973227
Lenoir-Rhyne University,1941090,970545
Clark University,1940791,970396
Corning Community College - Suny Office Of Community Colleges,1937448,968724
Lynn University,1935875,967938
Waukesha County Technical College,1935258,967629
Northeastern Oklahoma A & M College,1934724,967362
Curry College,1934414,967207
Oklahoma Baptist University,1934138,967069
Hardin-Simmons University,1934006,967003
Mohave Community College,1933935,966968
Crafton Hills College,1933930,966965
Northern Vermont University,1932341,966171
Mansfield University Of Pennsylvania,1932117,966059
Fashion Institute Of Design & Merchandising,1931729,965865
Plaza College,1926657,963329
Empire Beauty School,1925983,962992
Methodist University,1925342,962671
Cumberland University,1920642,960321
College Of The Holy Cross,1919146,959573
St. Clair County Community College,1909478,954739
Northeast Alabama Community College,1901781,950891
Westminster College,1897239,948620
Ashland Community And Technical College,1897125,948563
H. Councill Trenholm State Community College,1892834,946417
Piedmont Virginia Community College,1892438,946219
University Of Saint Francis,1891129,945565
Central Community College,1890454,945227
Brookline College,1890270,945135
Jarvis Christian College,1888040,944020
Apex Technical School,1885989,942995
Lackawanna College,1885348,942674
Butler County Community College,1882832,941416
Central Maine Community College,1882719,941360
Carl Albert State College,1880688,940344
Vanguard University Of Southern California,1879831,939916
Hawaii Pacific University,1879700,939850
Whittier College,1879550,939775
Concordia University,1875573,937787
South Central College,1873482,936741
Daemen College,1872946,936473
Wayne Community College,1871243,935622
South Georgia Technical College,1870108,935054
Delaware Valley University,1867829,933915
Thaddeus Stevens College Of Technology,1866667,933334
Stautzenberger College,1866592,933296
Trinity Valley Community College,1865240,932620
Middlebury College,1862094,931047
Blue Ridge Community College,1862031,931016
South Seattle College,1861609,930805
American University Of Puerto Rico,1861065,930533
University Of Arkansas Community College At Morrilton,1861056,930528
Wor-Wic Community College,1860894,930447
Texas Wesleyan University,1857910,928955
Frederick Community College,1851890,925945
Evangel University,1850723,925362
Moody Bible Institute,1848490,924245
Georgia Southwestern State University,1848045,924023
Desales University,1846942,923471
Tompkins Cortland Community College,1845177,922589
Berkeley City College,1844524,922262
University Of Texas Of The Permian Basin,1840016,920008
Northern Marianas College,1839331,919666
Lamar Institute Of Technology,1836301,918151
Vassar College,1835621,917811
Northeast Iowa Community College,1835580,917790
Bellingham Technical College,1833051,916526
Walsh University,1831514,915757
Albion College,1831231,915616
Emily Griffith Technical College,1828725,914363
Lewis & Clark College,1827087,913544
Louisiana State University In Shreveport,1825886,912943
University Of The Arts (The),1825665,912833
Gardner - Webb University,1825407,912704
Aiken Technical College,1824100,912050
College Of Health Care Professions (The),1823842,911921
Long Island Business Institute,1821234,910617
Central Virginia Community College,1817818,908909
Cisco College,1817547,908774
Southern Nazarene University,1815175,907588
Lower Columbia College,1810047,905024
Mount Saint Mary College,1809886,904943
Big Sandy Community And Technical College,1809773,904887
St. Lawrence University,1808349,904175
Oregon Institute Of Technology,1807273,903637
Nhti - Concord'S Community College,1806576,903288
West Coast Ultrasound Institute,1805882,902941
Grand View University,1805328,902664
Marian University,1805271,902636
Trine University,1800977,900489
Bridgewater College,1799980,899990
Gateway Community And Technical College,1797783,898892
North Seattle College,1795310,897655
Yti Career Institute,1793845,896923
Collegeamerica - Flagstaff,1792797,896399
Owensboro Community & Technical College,1789723,894862
Refrigeration School (The),1786314,893157
Connors State College,1785542,892771
Sul Ross State University,1779991,889996
Roanoke College,1777599,888800
Loma Linda University,1777517,888759
Southern Technical College,1776085,888043
Massachusetts Bay Community College,1775751,887876
Harcum College,1774344,887172
D'Youville College,1773370,886685
Nyack College,1773064,886532
Southeast Technical Institute,1770458,885229
Hawkeye Community College,1769048,884524
Lake Area Technical Institute,1768161,884081
College Of The Mainland,1767883,883942
Piedmont College,1766322,883161
Central Methodist University,1766287,883144
Denison University,1766023,883012
Babson College,1761990,880995
Coastal Pines Technical College,1758137,879069
Neumann University,1758118,879059
Lake Superior College,1757151,878576
Castleton University,1756834,878417
Caldwell Community College & Technical Institute,1753469,876735
West Virginia University - Parkersburg,1753087,876544
Adrian College,1752186,876093
Ohio Christian University,1748170,874085
Boricua College,1744981,872491
Allegheny College,1743082,871541
New York Film Academy,1739271,869636
Alverno College,1738517,869259
University Of Illinois At Springfield,1731887,865944
Northeast Community College,1729207,864604
Wittenberg University,1728770,864385
Drew University,1727427,863714
Clackamas Community College,1724926,862463
Concordia University,1723598,861799
Manhattanville College,1721825,860913
Trevecca Nazarene University,1718898,859449
Inver Hills Community College,1718868,859434
Renton Technical College,1717551,858776
Tulsa Technology Center School District No. 18,1717200,858600
University Of Rio Grande,1717045,858523
Salve Regina University,1715409,857705
University Of The Virgin Islands,1713737,856869
Sage Colleges,1712646,856323
Barnard College,1712643,856322
Mars Hill University,1707699,853850
Marymount Manhattan College,1701441,850721
New Mexico Highlands University,1699974,849987
Colorado Mountain College,1694667,847334
Franklin & Marshall College,1692121,846061
Metropolitan College Of New York,1690962,845481
Georgian Court University,1690335,845168
Southeastern College,1689659,844830
Dominican College Of Blauvelt,1684221,842111
Bates Technical College,1684098,842049
Guilford College,1682787,841394
Suny College Of Environment Science & Forestry,1681739,840870
University Of Evansville,1681651,840826
Victoria College,1680905,840453
Mount Saint Mary'S University,1678019,839010
Southside Virginia Community College,1677846,838923
Life University,1677181,838591
Roxbury Community College,1677144,838572
Montana Technological University,1676199,838100
Meredith College,1674515,837258
Ferrum College,1673615,836808
Gwynedd Mercy University,1673075,836538
Midland College,1673002,836501
Southwest Virginia Community College,1671535,835768
Ottawa University,1667633,833817
Central Ohio Technical College,1667250,833625
Concorde Career College,1667137,833569
Trinity University,1665507,832754
Saint Mary'S University Of Minnesota,1661096,830548
Lemoyne - Owen College,1660276,830138
Central Lakes College,1658191,829096
New River Community College,1658163,829082
Furman University,1656467,828234
Gettysburg College,1656033,828017
Emmanuel College,1651975,825988
East Central College,1651321,825661
West Virginia State University,1650103,825052
Lasell University,1647941,823971
Chattahoochee Valley Community College,1645716,822858
Becker College,1645170,822585
Southwest Minnesota State University,1644234,822117
Black River Technical College,1643629,821815
Gallaudet University,1642996,821498
Coyne College,1641135,820568
Skidmore College,1640633,820317
Robeson Community College,1637622,818811
Mckendree University,1636302,818151
Colgate University,1636002,818001
Suny Fulton-Montgomery Community College,1635420,817710
Huston - Tillotson University,1630192,815096
Mcdaniel College,1629536,814768
Woodland Community College,1623074,811537
Ogeechee Technical College,1622353,811177
Mandl School,1620451,810226
Muhlenberg College,1619907,809954
Oklahoma Christian University,1619172,809586
American Samoa Community College,1617885,808943
Southeast Kentucky Community And Technical College,1616993,808497
University Of Antelope Valley,1613796,806898
Saint Vincent College & Seminary,1605435,802718
Franciscan University Of Steubenville,1604718,802359
Danville Community College,1604222,802111
Ohio Wesleyan University,1602505,801253
National Holistic Institute,1602448,801224
Lake Superior State University,1602263,801132
Christian Brothers University,1600690,800345
University Of Puerto Rico - Utuado,1600359,800180
Muskingum University,1596789,798395
Saint Norbert College,1595105,797553
Newberry College,1592676,796338
St. Bonaventure University,1592629,796315
Concordia College - Moorhead,1590356,795178
Berry College,1589811,794906
Allen University,1589675,794838
Mount Holyoke College,1588803,794402
Concordia University - Saint Paul,1588736,794368
Institute Of Beauty Careers,1583438,791719
Spring Arbor University,1581268,790634
Colorado Technical University,1581179,790590
Gwinnett College,1577669,788835
Goucher College,1575324,787662
Chestnut Hill College,1574651,787326
Amherst College,1574582,787291
Depauw University,1574528,787264
Oakwood University,1573749,786875
College Of Saint Benedict,1572552,786276
Concordia University,1572272,786136
Hobart And William Smith Colleges,1571579,785790
Adams State University,1568914,784457
Missouri Baptist University,1567808,783904
Regent University,1567327,783664
University Of Pikeville,1566531,783266
Williams College,1564588,782294
Anderson University,1564159,782080
Eckerd College,1561944,780972
Elaine P. Nunez Community College,1561099,780550
Lake Washington Institute Of Technology,1558088,779044
Barstow Community College,1556808,778404
East Texas Baptist University,1556715,778358
Hollywood Institute Of Beauty Careers,1554527,777264
New England College,1554133,777067
Grace College And Theological Seminary,1551701,775851
Western New Mexico University,1551426,775713
Lake Forest College,1546268,773134
Lurleen B. Wallace Community College,1546138,773069
Siena Heights University,1545879,772940
University Of Texas Health Science Center At San Antonio,1545801,772901
Kishwaukee College,1545526,772763
University Of St. Francis,1539673,769837
Doane University,1538922,769461
Wiley College,1538638,769319
Oklahoma City University,1536667,768334
Harrisburg University Of Science And Technology,1536586,768293
Misericordia  University,1536398,768199
University Of Mary,1536188,768094
Southern California Institute Of Technology,1535401,767701
Queens University Of Charlotte,1532289,766145
Mid-State Technical College,1528012,764006
Cedar Crest College,1526417,763209
Coe College,1525647,762824
Texas A & M University - Texarkana,1525001,762501
Southern West Virginia Community And Technical College,1523218,761609
Southwestern Michigan College,1522115,761058
Herkimer County Community College - Suny Office Of Community Colleges,1522074,761037
Concorde Career College,1519727,759864
Madonna University,1517426,758713
Black Hills State University,1514973,757487
Wilmington College,1514460,757230
Cornerstone University,1514292,757146
Concordia University Texas,1512530,756265
Manchester University,1511452,755726
Massachusetts College Of Art And Design,1510265,755133
Craven Community College,1509343,754672
Willamette University,1509234,754617
American National University,1508237,754119
Panola College,1507332,753666
Northwestern Oklahoma State University,1506494,753247
Wisconsin Indianhead Technical College,1505393,752697
Navajo Technical University,1503703,751852
Laramie County Community College,1502654,751327
Stonehill College,1498782,749391
Florida Gateway College,1498341,749171
Ibmc College,1497661,748831
Automotive Training Center,1497626,748813
Cayuga Community College - Suny Office Of Community College,1497604,748802
Merritt College,1497283,748642
Saint Augustine College,1496982,748491
Dyersburg State Community College,1495222,747611
Allegany College Of Maryland,1494165,747083
Wesley College,1494069,747035
Tusculum University,1493995,746998
Virginia Wesleyan University,1493207,746604
University Of Wisconsin - Superior,1488367,744184
Wagner College,1488258,744129
Tougaloo College,1487317,743659
William Jessup University,1486736,743368
William Penn University,1485340,742670
Assumption College,1485031,742516
Macalester College,1483970,741985
Patrick Henry Community College,1483723,741862
Chaminade University Of Honolulu,1482800,741400
Ogle School Hair Skin Nails,1482600,741300
Northcentral Technical College,1482377,741189
Morris College,1481212,740606
Community College Of Vermont,1480650,740325
Centralia College,1477765,738883
University Of The Sciences In Philadelphia,1475914,737957
Occidental College,1474674,737337
Big Bend Community College,1473837,736919
High Desert Medical College,1472341,736171
Webber International University,1470540,735270
Dakota County Technical College,1467178,733589
Rhode Island School Of Design,1464915,732458
Central Louisiana Technical Community College,1462721,731361
Lawrence Technological University,1462382,731191
Oberlin College,1457347,728674
Kettering University,1457033,728517
South Dakota School Of Mines & Technology,1455698,727849
South Texas Vocational Technical Institute,1455120,727560
Howard County Junior College District,1454607,727304
Vance - Granville Community College,1453645,726823
Albizu University,1453598,726799
National American University,1453446,726723
Tennessee College Of Applied Technology-Memphis,1453214,726607
Simpson College,1453050,726525
John A. Logan College,1452644,726322
Saint Augustine'S University,1450038,725019
Kaskaskia College,1449286,724643
Bridgevalley Community And Technical College,1445025,722513
North Arkansas College,1444804,722402
Lebanon Valley College,1442705,721353
Waynesburg University,1442703,721352
Linfield College,1441325,720663
Glenville State College,1440768,720384
Cape Cod Community College,1440010,720005
Walla Walla University,1437520,718760
Dickinson College,1436068,718034
University Of Minnesota - Morris,1434554,717277
Surry Community College,1433250,716625
Universal Technology College  Of  Puerto Rico,1432599,716300
Bay Path University,1431166,715583
Olympian Academy Of Cosmetology,1430238,715119
Alma College,1429939,714970
Olive-Harvey College,1429900,714950
Blue Ridge Community College,1426892,713446
Eastern Maine Community College,1426773,713387
Keystone College,1425853,712927
Lds Business College,1422523,711262
Lubbock Christian University,1422450,711225
Benedictine College,1420495,710248
Post University,1419702,709851
University Of Puget Sound,1418056,709028
College Of Wooster (The),1417795,708898
North Central State College,1410128,705064
Saint Francis University,1409610,704805
Texas Lutheran University,1408194,704097
Belmont Abbey College,1407500,703750
Catawba College,1407154,703577
North-West College,1406776,703388
Columbia College Hollywood,1405837,702919
King University,1405253,702627
Edgewood College,1402919,701460
Maryville College,1401887,700944
Career Care Institute,1401625,700813
Cedar Valley College,1401492,700746
Wilkes Community College,1401082,700541
Franklin Pierce University,1400647,700324
Suny Maritime College,1400241,700121
Hopkinsville Community College,1399325,699663
Virginia Highlands Community College,1398769,699385
California College Of The Arts,1397586,698793
Stanbridge University,1395629,697815
University Of Hawaii - West Oahu,1395000,697500
Mountain Empire Community College,1394924,697462
Mitchell Community College,1393025,696513
Lycoming College,1392658,696329
Avila University,1391760,695880
Louisiana State University Health Sciences Center,1391236,695618
Lafayette College,1391019,695510
Lancaster Bible College,1389655,694828
Ulster County Community College,1387075,693538
Nebraska Wesleyan University,1382752,691376
Community College Of Beaver County,1381963,690982
Roberts Wesleyan College,1381405,690703
Iti Technical College,1381165,690583
Vernon College,1381106,690553
Luther College,1380684,690342
Trinity College,1376444,688222
L. E. Fletcher Technical Community College,1375120,687560
Ohio Media School,1374115,687058
Illinois Valley Community College,1373121,686561
Pioneer Pacific College,1373074,686537
Copper Mountain College,1372962,686481
Spring Hill College,1372682,686341
Kentucky State University,1372077,686039
Casper College,1370012,685006
Champlain College,1368260,684130
Paul Mitchell The School Dallas,1367452,683726
University Of New England,1365831,682916
Richland Community College,1365509,682755
State Technical College Of Missouri,1364179,682090
Western Nevada College,1363469,681735
Albertus Magnus College,1362920,681460
Professional Skills Institute,1362751,681376
Edward Waters College,1361209,680605
Lakeland University,1361111,680556
Rust College,1359587,679794
Northwood University,1358224,679112
Saint John'S University,1357136,678568
Northland Community And Technical College,1355409,677705
Freed Hardeman University,1353998,676999
Western Colorado University,1353339,676670
New Mexico Institute Of Mining & Technology,1353197,676599
University Of Maine - Augusta,1351526,675763
Elizabethtown College,1350544,675272
Centenary University,1350523,675262
Limestone College,1350503,675252
College Of Marin,1347945,673973
Francis Tuttle Technology Center School District No. 21,1347306,673653
Geneva College,1347254,673627
Dine College,1346931,673466
Ouachita Baptist University,1344385,672193
Carlow University,1343715,671858
Northeast Lakeview College,1343444,671722
Louisburg College,1342704,671352
Austin College,1342606,671303
Illinois Wesleyan University,1341680,670840
Paul Mitchell The School Fayetteville,1340711,670356
Concorde Career Institute,1340456,670228
Wheaton College,1338514,669257
Hill College,1336557,668279
Be'Er Yaakov Talmudic Seminary,1335069,667535
Washington And Jefferson College,1334327,667164
Eastern College Of Health Vocations,1332068,666034
Mount Vernon Nazarene University,1330478,665239
Thomas More University,1329216,664608
Knox College,1328070,664035
Converse College,1326683,663342
Spartan College Of Aeronautics And Technology,1326190,663095
Douglas J Aveda Institute,1324125,662063
Middlesex Community College,1323379,661690
Missouri Valley College,1322917,661459
Spartanburg Methodist College,1322353,661177
College Of Westchester (The),1320712,660356
Southern State Community College,1319577,659789
Maryland Institute College Of Art,1318621,659311
Texas A&M University - Central Texas,1318324,659162
John Brown University,1316339,658170
City College,1316096,658048
Olivet College,1315786,657893
Gordon College,1311252,655626
Judson University,1311084,655542
Mendocino College,1309837,654919
Massachusetts College Of Liberal Arts,1309397,654699
Union College,1308850,654425
Dunwoody College Of Technology,1304369,652185
Hallmark University,1304065,652033
Grays Harbor College,1303394,651697
Monroe County Community College,1300516,650258
Paul Mitchell The School Houston,1300078,650039
Nash Community College,1299061,649531
George Corley Wallace State Community College - Selma,1298325,649163
College Of Our Lady Of The Elms,1298135,649068
Oglala Lakota College,1297595,648798
Saint Thomas University,1296380,648190
Bluefield State College,1296174,648087
University Of Nebraska Medical Center,1295673,647837
Lim College,1293881,646941
North Iowa Area Community College,1293311,646656
James A. Rhodes State College,1292073,646037
Wartburg College,1289269,644635
Pomona College,1285644,642822
Technical College Of The Lowcountry - Beaufort Campus,1283989,641995
Heritage University,1283643,641822
Brenau University,1283197,641599
Mount St. Joseph University,1282973,641487
Garden City Community College,1282005,641003
Viterbo University,1279908,639954
Oglethorpe University,1279508,639754
Lincoln College,1279507,639754
Reinhardt University,1278399,639200
University Of Dallas,1277096,638548
Pci Health Training Center,1276232,638116
Minot State University,1275782,637891
Pfeiffer University,1274850,637425
Notre Dame College Of Ohio,1274119,637060
Ringling College Of Art And Design,1273220,636610
Loras College,1272730,636365
Riverland Community College,1272243,636122
Houghton College,1272224,636112
Summit Academy Opportunities Industrialization Center,1272165,636083
Hartwick College,1271783,635892
Bethel University,1269847,634924
Kankakee Community College,1267153,633577
Seton Hill University,1266845,633423
Arkansas State University - Newport,1266638,633319
Hood College,1265284,632642
Westminster College,1265227,632614
Randolph Community College,1264255,632128
Emory & Henry College,1262240,631120
Southeastern Technical College,1258784,629392
University Of Mobile,1257422,628711
Southern Virginia University,1257205,628603
Houston Training Schools,1254446,627223
Florida Polytechnic University,1253303,626652
Saint Martin'S University,1252197,626099
Ogle School Hair Skin Nails,1248354,624177
Hazard Community And Technical College,1248333,624167
Malone University,1247915,623958
John Wood Community College,1245792,622896
Colby College,1244996,622498
Dominican University Of California,1244783,622392
Tidewater Tech,1243306,621653
Massachusetts Maritime Academy,1242689,621345
West Virginia Wesleyan College,1242558,621279
Enterprise State Community College,1240737,620369
Edgecombe Community College,1239795,619898
Illinois College,1239311,619656
Snead State Community College,1239198,619599
Nichols College,1236801,618401
Andrews University,1236555,618278
Lake Erie College Of Osteopathic Medicine,1233436,616718
Downey Adult School,1232716,616358
Edison State Community College,1229604,614802
Brazosport College,1228723,614362
Stella And Charles Guttman Community College,1228352,614176
College Of Business & Technology,1227280,613640
Rockford University,1225910,612955
Huntingdon College,1225333,612667
University Of Charleston,1222988,611494
Central Alabama Community College,1222052,611026
Mount Mercy University,1221083,610542
Davidson College,1220411,610206
Coffeyville Community College,1219871,609936
Santa Fe Community College,1219106,609553
Wytheville Community College,1217475,608738
Southwestern Assemblies Of God University,1215532,607766
Asnuntuck Community College,1215438,607719
Augustana University,1215394,607697
Moraine Park Technical College,1215286,607643
Universal Career School,1214724,607362
Cleveland Community College,1214574,607287
Point University,1214025,607013
Southwestern University,1213449,606725
Galveston College,1212226,606113
Concorde Career College,1209817,604909
Chipola College,1208491,604246
Shorter University,1208080,604040
Cowley County Community College & Area Vocational Technical School,1206714,603357
Stillman College,1206208,603104
Rhodes College,1205945,602973
La Roche University,1205918,602959
Aquinas College,1204512,602256
Manchester Community College,1203670,601835
Connecticut College,1202711,601356
Asher College,1201948,600974
Saint Mary'S College,1201641,600821
Swarthmore College,1200865,600433
Midamerica Nazarene University,1199713,599857
Woodbury University,1199479,599740
Hampshire College,1199199,599600
Yeshivath Viznitz,1198248,599124
Brandman University,1196618,598309
Delta College Of Arts & Technology,1192751,596376
Fortis College,1192474,596237
Tennessee Wesleyan University,1192356,596178
Rose - Hulman Institute Of Technology,1191507,595754
