School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Johnson & Wales University,14182680,7091340
University Of Akron (The),14151817,7075909
Blinn College,14141911,7070956
North Carolina Agricultural & Technical State University,14103628,7051814
California Polytechnic State University,14095976,7047988
College Of Southern Nevada,14078408,7039204
New Mexico State University,14076359,7038180
Austin Community College,13907800,6953900
Missouri State University,13855674,6927837
Oakland University,13796824,6898412
Prairie View Agricultural & Mechanical University,13752928,6876464
Eastern Michigan University,13733990,6866995
University Of North Georgia,13636481,6818241
Binghamton University,13607332,6803666
"California State University, Bakersfield",13588942,6794471
Clemson University,13579995,6789998
University Of Toledo,13547254,6773627
Kean University,13509139,6754570
University Of Southern Mississippi,13506042,6753021
Georgia Gwinnett College,13470330,6735165
Remington College,13408868,6704434
Lincoln College Of Technology,13341054,6670527
"California State University, Stanislaus",13314715,6657358
Cuny Lehman College,13293096,6646548
Suffolk County Community College,13179539,6589770
Drexel University,13179268,6589634
Bowling Green State University,13163417,6581709
Florida Agricultural & Mechanical University,13051325,6525663
"University Of California, Merced",13037897,6518949
Miami University,12989033,6494517
Cuny Laguardia Community College,12917232,6458616
Columbia University In The City Of New York,12830199,6415100
St. Petersburg College,12813482,6406741
Cornell University,12800980,6400490
Kansas State University,12686554,6343277
University Of Louisiana At Lafayette,12686007,6343004
Pontifical Catholic University Of Puerto Rico (The),12669949,6334975
College Of Staten Island/Cuny,12595956,6297978
Columbus State Community College,12562800,6281400
Portland Community College,12538743,6269372
University Of Louisville,12478790,6239395
Cleveland State University,12226765,6113383
Santa Monica College,12193513,6096757
Saint John'S University,12191880,6095940
Cerritos Community College,12186449,6093225
University Of Massachusetts - Boston,12184652,6092326
Bakersfield College,12182994,6091497
University Of Delaware,12174809,6087405
University Of Alabama At Birmingham,12131256,6065628
San Joaquin Valley College,12104128,6052064
James Madison University,12080658,6040329
Nassau Community College,12022119,6011060
Tidewater Community College,11999956,5999978
West Chester University Of Pennsylvania,11992115,5996058
West Coast University,11797821,5898911
Texas Southern University,11796898,5898449
University Of North Florida,11770196,5885098
University Of Virginia,11716710,5858355
Weber State University,11714226,5857113
El Camino College,11659979,5829990
Northeastern University,11648813,5824407
University Of New Hampshire,11647555,5823778
Western Washington University,11641693,5820847
Chaffey Community College,11446484,5723242
University Of South Alabama,11408535,5704268
Monroe College,11408077,5704039
Rasmussen College,11388948,5694474
